Date,Month,Product,Product Family,Quarter,Region EN,Select level,Territory EN,Year,Arrow up and down,CY Patients,"CY to PY, %","CY to PY, % negative (for tooltip)","CY to PY, % positive (for tooltip)",Diagnosed Patients,Number of Records,PY Patients
04/04/2019,4,Prd2,FAM1,2,Moscow,FAM1,Moscow,2019,↓,0,-1,-1,,1,1,1
15/04/2019,4,Prd2,FAM1,2,Moscow,FAM1,Moscow,2019,↓,0,-1,-1,,1,1,1
14/05/2019,5,Prd2,FAM1,2,Moscow,FAM1,Moscow,2019,↓,0,-1,-1,,1,1,1
16/06/2019,6,Prd2,FAM1,2,Moscow,FAM1,Moscow,2019,↓,0,-1,-1,,1,1,1
03/07/2019,7,Prd2,FAM1,3,Moscow,FAM1,Moscow,2019,↓,0,-1,-1,,1,1,1
11/07/2019,7,Prd2,FAM1,3,Moscow,FAM1,Moscow,2019,↓,0,-1,-1,,1,1,1
21/08/2019,8,Prd2,FAM1,3,Moscow,FAM1,Moscow,2019,↓,0,-1,-1,,1,1,1
04/09/2019,9,Prd2,FAM1,3,Moscow,FAM1,Moscow,2019,↓,0,-1,-1,,1,1,1
31/03/2020,3,Prd2,FAM1,1,Moscow,FAM1,Moscow,2020,↓,1,0,,,1,1,1
15/01/2019,1,Prd2,FAM1,1,Moscow Region,FAM1,Moscow Region,2019,↓,0,-1,-1,,1,1,1
27/02/2019,2,Prd2,FAM1,1,Moscow Region,FAM1,Moscow Region,2019,↓,0,-1,-1,,1,1,1
20/03/2019,3,Prd2,FAM1,1,Moscow Region,FAM1,Moscow Region,2019,↓,0,-1,-1,,1,1,1
25/07/2019,7,Prd2,FAM1,3,Moscow Region,FAM1,Moscow Region,2019,↓,0,-1,-1,,1,1,1
18/09/2019,9,Prd2,FAM1,3,Moscow Region,FAM1,Moscow Region,2019,↓,0,-1,-1,,1,1,1
04/03/2020,3,Prd2,FAM1,1,Moscow Region,FAM1,Moscow Region,2020,↓,1,0,,,1,1,1
13/05/2020,5,Prd2,FAM1,2,Moscow Region,FAM1,Moscow Region,2020,↓,1,0,,,1,1,1
30/05/2020,5,Prd2,FAM1,2,Moscow Region,FAM1,Moscow Region,2020,↓,1,0,,,1,1,1
23/01/2019,1,Prd2,FAM1,1,North-West,FAM1,Arkhangelsk Oblast,2019,↓,0,-1,-1,,1,1,1
10/01/2019,1,Prd2,FAM1,1,North-West,FAM1,Komi Republic,2019,↓,0,-1,-1,,1,1,1
02/07/2019,7,Prd2,FAM1,3,North-West,FAM1,Komi Republic,2019,↓,0,-1,-1,,1,1,1
01/08/2019,8,Prd2,FAM1,3,North-West,FAM1,Komi Republic,2019,↓,0,-1,-1,,1,1,1
03/06/2019,6,Prd2,FAM1,2,North-West,FAM1,Murmansk Oblast,2019,↓,0,-1,-1,,1,1,1
10/01/2019,1,Prd2,FAM1,1,North-West,FAM1,Pskov Oblast,2019,↓,0,-1,-1,,1,1,1
21/01/2019,1,Prd2,FAM1,1,North-West,FAM1,Saint Petersburg,2019,↓,0,-1,-1,,1,1,1
22/01/2019,1,Prd2,FAM1,1,North-West,FAM1,Saint Petersburg,2019,↓,0,-1,-1,,1,1,1
21/02/2019,2,Prd2,FAM1,1,North-West,FAM1,Saint Petersburg,2019,↓,0,-1,-1,,1,1,1
14/08/2019,8,Prd2,FAM1,3,North-West,FAM1,Saint Petersburg,2019,↓,0,-1,-1,,1,1,1
18/09/2019,9,Prd2,FAM1,3,Southern,FAM1,Adygea Republic,2019,↓,0,-1,-1,,1,1,1
09/06/2020,6,Prd2,FAM1,2,Southern,FAM1,Adygea Republic,2020,↓,2,0,,,2,1,2
05/02/2020,2,Prd2,FAM1,1,Southern,FAM1,Astrakhan Oblast,2020,↓,1,0,,,1,1,1
14/01/2019,1,Prd2,FAM1,1,Southern,FAM1,Crimea Republic,2019,↓,0,-1,-1,,2,1,2
11/03/2019,3,Prd2,FAM1,1,Southern,FAM1,Crimea Republic,2019,↓,0,-1,-1,,1,1,1
01/04/2019,4,Prd2,FAM1,2,Southern,FAM1,Crimea Republic,2019,↓,0,-1,-1,,1,1,1
01/04/2019,4,Prd2,FAM1,2,Southern,FAM1,Dagestan Republic,2019,↓,0,-1,-1,,1,1,1
06/05/2019,5,Prd2,FAM1,2,Southern,FAM1,Dagestan Republic,2019,↓,0,-1,-1,,2,1,2
07/06/2020,6,Prd2,FAM1,2,Southern,FAM1,Dagestan Republic,2020,↓,1,0,,,1,1,1
02/04/2019,4,Prd2,FAM1,2,Southern,FAM1,Krasnodar Oblast,2019,↓,0,-1,-1,,1,1,1
04/09/2019,9,Prd2,FAM1,3,Southern,FAM1,Krasnodar Oblast,2019,↓,0,-1,-1,,1,1,1
07/06/2020,6,Prd2,FAM1,2,Southern,FAM1,Krasnodar Oblast,2020,↓,1,0,,,1,1,1
06/07/2020,7,Prd2,FAM1,3,Southern,FAM1,Krasnodar Oblast,2020,↓,1,0,,,1,1,1
08/07/2020,7,Prd2,FAM1,3,Southern,FAM1,Krasnodar Oblast,2020,↓,1,0,,,1,1,1
01/01/2019,1,Prd2,FAM1,1,Southern,FAM1,Rostov Oblast,2019,↓,0,-1,-1,,1,1,1
05/03/2019,3,Prd2,FAM1,1,Southern,FAM1,Rostov Oblast,2019,↓,0,-1,-1,,1,1,1
25/03/2019,3,Prd2,FAM1,1,Southern,FAM1,Rostov Oblast,2019,↓,0,-1,-1,,1,1,1
04/04/2019,4,Prd2,FAM1,2,Southern,FAM1,Rostov Oblast,2019,↓,0,-1,-1,,1,1,1
11/04/2019,4,Prd2,FAM1,2,Southern,FAM1,Rostov Oblast,2019,↓,0,-1,-1,,1,1,1
02/03/2020,3,Prd2,FAM1,1,Southern,FAM1,Rostov Oblast,2020,↓,1,0,,,1,1,1
01/04/2019,4,Prd2,FAM1,2,Southern,FAM1,Volgograd Oblast,2019,↓,0,-1,-1,,1,1,1
06/05/2019,5,Prd2,FAM1,2,Southern,FAM1,Volgograd Oblast,2019,↓,0,-1,-1,,1,1,1
02/06/2019,6,Prd2,FAM1,2,Ural & W.Siberia,FAM1,Kurgan Oblast,2019,↓,0,-1,-1,,1,1,1
